,mu,x,FLE
0,2.5,0.6000000000000001,3.440167631684856e-07
1,2.51,0.601593625498008,1.9256697942703606e-07
2,2.5199999999999996,0.603174603174603,2.805548485672712e-07
3,2.5299999999999994,0.6047430830039525,3.6055357877073205e-07
4,2.539999999999999,0.6062992125984251,1.414052396677953e-06
5,2.549999999999999,0.6078431372549017,1.8148644632160683e-06
6,2.5599999999999987,0.6093749999999999,1.3445701218496569e-05
7,2.5699999999999985,0.6108949416342411,7.5161364701324695e-06
8,2.5799999999999983,0.6124031007751937,1.3480330305325058e-05
9,2.589999999999998,0.6138996138996136,9.083490492179324e-06
10,2.599999999999998,0.6153846153846151,3.0617316421602756e-06
11,2.6099999999999977,0.6168582375478923,-3.071087526987707e-05
12,2.6199999999999974,0.6183206106870225,-4.432351753835764e-05
13,2.6299999999999972,0.6197718631178704,-8.59144068167135e-06
14,2.639999999999997,0.6212121212121207,-4.6116333386899654e-05
15,2.649999999999997,0.6226415094339619,-5.7763396230369074e-05
16,2.6599999999999966,0.6240601503759393,-6.91273809427399e-05
17,2.6699999999999964,0.625468164794007,-4.588026129064466e-05
18,2.679999999999996,0.6268656716417904,-0.00013031393209181878
19,2.689999999999996,0.6282527881040887,-0.00010571181907238462
20,2.6999999999999957,0.6296296296296291,-0.00011441789761286674
21,2.7099999999999955,0.6309963099630993,-0.00028260809529797687
22,2.7199999999999953,0.6323529411764702,-0.00023597980137479312
23,2.729999999999995,0.633699633699633,-0.0003213734760221503
24,2.739999999999995,0.6350364963503644,-0.029118535737840713
25,2.7499999999999947,0.6363636363636356,-0.03124192381720614
26,2.7599999999999945,0.6376811594202892,-0.02969470795719699
27,2.7699999999999942,0.6389891696750893,-0.045459266708013105
28,2.779999999999994,0.6402877697841718,-0.029245223022036818
29,2.789999999999994,0.6415770609318989,-0.029237046851012905
30,2.7999999999999936,0.6428571428571418,-0.026779107269882425
31,2.8099999999999934,0.6441281138790028,-0.024425006895556232
32,2.819999999999993,0.6453900709219851,-0.029961289633713962
33,2.829999999999993,0.6466431095406351,-0.023868148070106326
34,2.8399999999999928,0.6478873239436611,-0.02721259314768867
35,2.8499999999999925,0.6491228070175428,-0.026839905364348122
36,2.8599999999999923,0.6503496503496491,-0.026592880278986413
37,2.869999999999992,0.6515679442508704,-0.025280357314150025
38,2.879999999999992,0.6527777777777765,-0.024847002522580847
39,2.8899999999999917,0.6539792387543242,-0.03450470254533756
40,2.8999999999999915,0.655172413793108,-0.023418562294590994
41,2.9099999999999913,0.6563573883160279,-0.01851234457750049
42,2.919999999999991,0.6575342465760639,-0.025784177029824478
43,2.929999999999991,0.6587030717188501,-0.01613436679244872
44,2.9399999999999906,0.6598639445020654,-0.011892615571616704
45,2.9499999999999904,0.6610169573032202,-0.013838218310377307
46,2.95999999999999,0.6621625133481687,-0.007689935819514655
47,2.96999999999999,0.6632927510344887,0.003331162165570095
48,2.9799999999999898,0.6644633713533267,-0.0026517719164263023
49,2.9899999999999896,0.6671779315190676,0.014925049104860779
50,2.9999999999999893,0.6528849553955488,0.039575670231000955
51,3.009999999999989,0.6330307611822288,0.0804484649803956
52,3.019999999999989,0.7125081717482823,0.3356019210112958
53,3.0299999999999887,0.6076391463917317,0.365580648840347
54,3.0399999999999885,0.5983560814400468,0.3635253641426976
55,3.0499999999999883,0.7377049180327793,0.2816602313787395
56,3.059999999999988,0.5827518779133875,0.3616169997091054
57,3.069999999999988,0.5759348133870925,0.3020419896915885
58,3.0799999999999876,0.7550834860849658,0.317811757993782
59,3.0899999999999874,0.7599858337353824,0.3450611208493339
60,3.099999999999987,0.5580141252027029,0.38562783168414877
61,3.109999999999987,0.5526714117426806,0.3562242730070988
62,3.119999999999987,0.7729384348156805,0.4096714791074362
63,3.1299999999999866,0.5426941527046558,0.3754388229212746
64,3.1399999999999864,0.5380072209511255,0.4442958065181656
65,3.149999999999986,0.783966141571896,0.4087223541929478
66,3.159999999999986,0.7873169497112051,0.428698076249897
67,3.1699999999999857,0.5249271302221398,0.3659879830172722
68,3.1799999999999855,0.5208474940742107,0.42584412618486434
69,3.1899999999999853,0.7965900252582676,0.4513658944302352
70,3.199999999999985,0.7994554904673659,0.37072584236568573
71,3.209999999999985,0.5093043738577439,0.4622887947273817
72,3.2199999999999847,0.5056622426031622,0.4172187745522391
73,3.2299999999999844,0.80748559340037,0.4900871959499956
74,3.2399999999999842,0.8099940767026935,0.31453485989561625
75,3.249999999999984,0.49526516824547984,0.4666780825404576
76,3.259999999999984,0.4919592378291726,0.430492886445003
77,3.2699999999999836,0.8170843746315555,0.4601658823072303
78,3.2799999999999834,0.8193162461390696,0.4600918517050287
79,3.289999999999983,0.48246317512678605,0.46177696209612695
80,3.299999999999983,0.47942701982423924,0.4515090369861614
81,3.3099999999999827,0.825664338273156,0.47306408294576296
82,3.3199999999999825,0.8276739573096239,0.46453968577359356
83,3.3299999999999823,0.4706657578495658,0.45853636836482137
84,3.339999999999982,0.46785287857413427,0.4709184626040427
85,3.349999999999982,0.8334173534216842,0.3960826053475826
86,3.3599999999999817,0.8352435686114945,0.4793313281541576
87,3.3699999999999815,0.4597071471841976,0.4408294162602941
88,3.3799999999999812,0.45708339144532856,0.4260914269238784
89,3.389999999999981,0.8404826536520195,0.45429270549350026
90,3.399999999999981,0.8421543994326676,0.3868226872709975
91,3.4099999999999806,0.44946391644268846,0.39671680512481994
92,3.4199999999999804,0.44700325929471485,0.42857952674113176
93,3.42999999999998,0.4445800125540773,0.43289784137380555
94,3.43999999999998,0.8485077409379677,0.4601400382267324
95,3.4499999999999797,0.8531677905506568,0.46346428730750305
96,3.4599999999999795,0.41323391375924895,0.4328317724790895
97,3.4699999999999793,0.4785612450856264,0.37426819772958314
98,3.479999999999979,0.8694262033676426,0.42649705774039803
99,3.489999999999979,0.8723923530399211,0.38896617504738296
100,3.4999999999999787,0.8749972636024589,0.5189824856759415
101,3.5099999999999785,0.5067130552152539,0.4872645949872482
102,3.5199999999999783,0.5120763618444772,0.39875252318490234
103,3.529999999999978,0.8217479418781796,0.4063675774406897
104,3.539999999999978,0.820332196707361,0.45063425916849364
105,3.5499999999999776,0.8816843467379797,0.33097949754863976
106,3.5599999999999774,0.4944899582504915,0.4382305276630858
107,3.569999999999977,0.3463352454896217,0.48117031373926883
108,3.579999999999977,0.8082310104045902,0.547604870437672
109,3.5899999999999768,0.8970995500664787,0.5637693534788639
110,3.5999999999999766,0.8793269634647367,0.5898970395173123
111,3.6099999999999763,0.5013454586714071,0.5821056078248968
112,3.619999999999976,0.36207724041344197,0.596056101858993
113,3.629999999999976,0.9073713502632457,0.45880139178333695
114,3.6399999999999757,0.7699988867825001,0.6117485507202264
115,3.6499999999999755,0.8706531880565004,0.6187724173232507
116,3.6599999999999753,0.4730752504632475,0.6493567688335292
117,3.669999999999975,0.38981651007245083,0.6612496685963309
118,3.679999999999975,0.5399094640063093,0.7598371972369372
119,3.6899999999999746,0.8802422579054701,0.7286509451550774
120,3.6999999999999744,0.6934199849754377,0.687266354485527
121,3.709999999999974,0.6135337522467507,0.7103752346751554
122,3.719999999999974,0.7276936561029723,0.7139200333475612
123,3.729999999999974,0.6425013313662981,0.7206757192672159
124,3.7399999999999736,0.9349453234664634,0.4087457753855495
125,3.7499999999999734,0.2223146047981313,0.7109901444841253
126,3.759999999999973,0.6283084030194209,0.6996204000981405
127,3.769999999999973,0.8591532939939851,0.729348614887821
128,3.7799999999999727,0.27009223259363846,0.7291633997776454
129,3.7899999999999725,0.6121419907060341,0.7179930263127786
130,3.7999999999999723,0.7924972162562884,0.7553447292303512
131,3.809999999999972,0.8959350020680074,0.7534577160066797
132,3.819999999999972,0.3022271596705205,0.761776226700562
133,3.8299999999999716,0.5046664874085008,0.48745962428896517
134,3.8399999999999714,0.4880043865434591,0.43296341950531864
135,3.8499999999999712,0.4620614474733459,0.4523141148113685
136,3.859999999999971,0.46107925031532304,0.7158305362569243
137,3.869999999999971,0.623542287357124,0.7576383655410489
138,3.8799999999999706,0.5691662400002091,0.7861476339411905
139,3.8899999999999704,0.8933664445061692,0.7978984657232311
140,3.89999999999997,0.365762837273303,0.7925810546610501
141,3.90999999999997,0.44527748508714227,0.773212064315312
142,3.9199999999999697,0.4013701156771118,0.8430542979187781
143,3.9299999999999695,0.10610594003919926,0.8222472837192508
144,3.9399999999999693,0.3787242506674111,0.8354772704724793
145,3.949999999999969,0.9409175134794399,0.8659369380685126
146,3.959999999999969,0.07540065662388722,0.817239532952717
147,3.9699999999999687,0.1215437024355072,0.8383958099671333
148,3.9799999999999685,0.5798903093200458,0.8465319093853958
149,3.9899999999999682,0.9859732677333406,0.8948248060068653
